id,stateName,name,geoid,electionYear,vtdst10,aland,awater, totalVotes 
0,NH,LACONIA WARD 1,33001LACO01,2016,LACO01,28069224,5826290," 1,566 "
1,NH,LACONIA WARD 2,33001LACO02,2016,LACO02,2232570,1802355," 1,137 "
2,NH,LACONIA WARD 3,33001LACO03,2016,LACO03,3281326,3377092," 1,302 "
3,NH,LACONIA WARD 4,33001LACO04,2016,LACO04,4360791,48751," 1,197 "
4,NH,LACONIA WARD 5,33001LACO05,2016,LACO05,1773585,0," 1,034 "
5,NH,LACONIA WARD 6,33001LACO06,2016,LACO06,12153150,4946566," 1,787 "
6,NH,TOWN OF ALTON,33001ALTO01,2016,ALTO01,162905040,49995256," 3,494 "
7,NH,TOWN OF BARNSTEAD,33001BARN01,2016,BARN01,108637192,5347262," 2,589 "
8,NH,TOWN OF BELMONT,33001BELM01,2016,BELM01,78909167,4817039," 3,657 "
9,NH,TOWN OF CENTER HARBOR,33001CENT01,2016,CENT01,34591297,8224635, 713 
10,NH,TOWN OF GILFORD,33001GILF01,2016,GILF01,100809158,38326917," 4,668 "
11,NH,TOWN OF GILMANTON,33001GILM01,2016,GILM01,148249907,4560753," 2,521 "
12,NH,TOWN OF MEREDITH,33001MERE01,2016,MERE01,103440810,37882647," 4,059 "
13,NH,TOWN OF NEW HAMPTON,33001NEWH01,2016,NEWH01,95028781,4104082," 1,360 "
14,NH,TOWN OF SANBORNTON,33001SANB01,2016,SANB01,123301260,5567339," 1,895 "
15,NH,TOWN OF TILTON,33001TILT01,2016,TILT01,28838875,2212379," 1,849 "
16,NH,TOWN OF ALBANY,33003ALBA01,2016,ALBA01,193150637,1498069, 399 
17,NH,TOWN OF BARTLETT,33003BART01,2016,BART01,193932407,1111642," 1,929 "
18,NH,TOWN OF BROOKFIELD,33003BROO01,2016,BROO01,59110192,1089099, 447 
19,NH,TOWN OF CHATHAM,33003CHAT01,2016,CHAT01,147106235,1427759, 204 
20,NH,TOWN OF CONWAY,33003CONW01,2016,CONW01,179755305,5849819," 5,189 "
21,NH,TOWN OF EATON,33003EATO01,2016,EATO01,62917849,3351694, 282 
22,NH,TOWN OF EFFINGHAM,33003EFFI01,2016,EFFI01,99512203,3051804, 842 
23,NH,TOWN OF FREEDOM,33003FREE01,2016,FREE01,90610390,8121793, 952 
24,NH,TOWN OF HARTS LOCATION,33003HART01,2016,HART01,47867186,271824, 34 
25,NH,TOWN OF JACKSON,33003JACK01,2016,JACK01,173308710,99914, 675 
26,NH,TOWN OF MADISON,33003MADI01,2016,MADI01,99824790,6182413," 1,469 "
27,NH,TOWN OF MOULTONBOROUGH,33003MOUL01,2016,MOUL01,154046217,39184586," 3,178 "
28,NH,TOWN OF OSSIPEE,33003OSSI01,2016,OSSI01,183263428,12461602," 2,178 "
29,NH,TOWN OF SANDWICH,33003SAND01,2016,SAND01,233700335,8395785, 986 
30,NH,TOWN OF TAMWORTH,33003TAMW01,2016,TAMW01,154658858,2501107," 1,595 "
31,NH,TOWN OF TUFTONBORO,33003TUFT01,2016,TUFT01,106071694,23383200," 1,637 "
32,NH,TOWN OF WAKEFIELD,33003WAKE01,2016,WAKE01,102200730,13573978," 2,745 "
33,NH,TOWN OF WOLFEBORO,33003WOLF01,2016,WOLF01,123993800,27377367," 4,244 "
34,NH,TOWNSHIP OF HALES LOCATION,33003HALE01,2016,HALE01,6427945,0, 123 
35,NH,KEENE WARD 1,33005KEEN01,2016,KEEN01,6611730,6550," 2,248 "
36,NH,KEENE WARD 2,33005KEEN02,2016,KEEN02,29033920,314273," 2,470 "
37,NH,KEENE WARD 3,33005KEEN03,2016,KEEN03,15483121,227852," 2,277 "
38,NH,KEENE WARD 4,33005KEEN04,2016,KEEN04,4841856,34705," 2,501 "
39,NH,KEENE WARD 5,33005KEEN05,2016,KEEN05,40502361,71151," 2,936 "
40,NH,TOWN OF ALSTEAD,33005ALST01,2016,ALST01,100443584,1473313," 1,024 "
41,NH,TOWN OF CHESTERFIELD,33005CHES01,2016,CHES01,117978835,5199679," 2,161 "
42,NH,TOWN OF DUBLIN,33005DUBL01,2016,DUBL01,72699889,2860637," 1,016 "
43,NH,TOWN OF FITZWILLIAM,33005FITZ01,2016,FITZ01,89654383,3625990," 1,252 "
44,NH,TOWN OF GILSUM,33005GILS01,2016,GILS01,43112718,55764, 450 
45,NH,TOWN OF HARRISVILLE,33005HARR01,2016,HARR01,48126080,4073718, 677 
46,NH,TOWN OF HINSDALE,33005HINS01,2016,HINS01,53257692,5562051," 1,722 "
47,NH,TOWN OF JAFFREY,33005JAFF01,2016,JAFF01,99227864,4488199," 2,789 "
48,NH,TOWN OF MARLBOROUGH,33005MRLB01,2016,MRLB01,52849026,609124," 1,165 "
49,NH,TOWN OF MARLOW,33005MRLW01,2016,MRLW01,67201280,1217456, 441 
50,NH,TOWN OF NELSON,33005NELS01,2016,NELS01,56661040,3562673, 423 
51,NH,TOWN OF RICHMOND,33005RICH01,2016,RICH01,97320308,507318, 665 
52,NH,TOWN OF RINDGE,33005RIND01,2016,RIND01,96356215,7053014," 3,444 "
53,NH,TOWN OF ROXBURY,33005ROXB01,2016,ROXB01,30820135,752476, 139 
