name,geoid,vtdst10,aland,awater,code
BENTONVILLE,39001001AAW,001AAW,58773091,0,1
BRADYVILLE,39001001AAX,001AAX,55942910,260772,1
BRATTON TOWNSHIP,39001001AAA,001AAA,83182227,48560,1
CEDAR MILLS,39001001AAB,001AAB,44348791,10901,1
CHERRY FORK VILLAGE,39001001ABE,001ABE,310341,0,1
CHURN CREEK,39001001AAG,001AAG,44282428,17720,1
GREEN TOWNSHIP,39001001AAE,001AAE,141862562,1323937,1
JACKSONVILLE,39001001AAN,001AAN,67873671,853333,1
LIBERTY NORTH,39001001ABI,001ABI,50132215,19365,1
LIBERTY SOUTH,39001001AAI,001AAI,61750842,0,1
LOCUST GROVE,39001001AAD,001AAD,140150506,302281,1
LYNX,39001001AAC,001AAC,63080101,31783,1
MANCHESTER A,39001001AAK,001AAK,1309858,0,1
MANCHESTER B,39001001AAL,001AAL,496869,0,1
MANCHESTER C,39001001AAM,001AAM,1333608,0,1
MANCHESTER TOWNSHIP,39001001AAJ,001AAJ,3222554,46405,1
MINERAL SPRINGS,39001001AAO,001AAO,91194345,390403,1
MONROE TOWNSHIP,39001001AAR,001AAR,70452591,2295184,1
OLIVER TOWNSHIP,39001001AAS,001AAS,75012514,97993,1
PEEBLES EAST,39001001AAP,001AAP,1437147,0,1
PEEBLES WEST,39001001AAQ,001AAQ,1623848,0,1
ROME VILLAGE,39001001AAF,001AAF,596304,63632,1
SEAMAN PRECINCT,39001001AAT,001AAT,29509719,5343,1
SEAMAN VILLAGE,39001001AAU,001AAU,2607784,0,1
TIFFIN EAST,39001001AAY,001AAY,80851466,10109,1
TIFFIN WEST,39001001AAZ,001AAZ,44701275,204761,1
TRANQUILITY,39001001AAV,001AAV,65076579,0,1
WAMSLEY,39001001AAH,001AAH,67263384,121949,1
WAYNE TOWNSHIP,39001001ABF,001ABF,72160223,5544,1
WEST UNION EAST,39001001ABA,001ABA,1948219,0,1
WEST UNION NORTH,39001001ABB,001ABB,1005272,0,1
WEST UNION SOUTH,39001001ABC,001ABC,1247909,0,1
WEST UNION WEST,39001001ABD,001ABD,2844900,0,1
WINCHESTER TOWNSHIP,39001001ABG,001ABG,77856958,12426,1
WINCHESTER VILLAGE,39001001ABH,001ABH,6765949,43540,1
AMANDA TWP E,39003003ACT,003ACT,43252476,375087,3
AMANDA TWP N,39003003ACU,003ACU,43049298,2410526,3
AMERICAN TWP A,39003003ACW,003ACW,493182,1955,3
AMERICAN TWP B,39003003ACX,003ACX,338976,0,3
AMERICAN TWP C,39003003ACY,003ACY,645666,0,3
AMERICAN TWP E,39003003ADA,003ADA,11001614,27386,3
AMERICAN TWP F,39003003ADB,003ADB,8694218,21371,3
AMERICAN TWP G,39003003ADC,003ADC,1499236,0,3
AMERICAN TWP H,39003003ADD,003ADD,2681601,1612,3
AMERICAN TWP I,39003000057,57,330630,0,3
AMERICAN TWP J,39003003ADF,003ADF,3774846,0,3
AMERICAN TWP K,39003003ADG,003ADG,12688371,197542,3
AMERICAN TWP L,39003003ADI,003ADI,6463402,26521,3
AMERICAN TWP M,39003003ADJ,003ADJ,5829267,133640,3
AMERICAN TWP N,39003003ADK,003ADK,951238,2306,3
AMERICAN TWP O,39003003ADL,003ADL,617310,0,3
AMERICAN TWP P,39003003ADO,003ADO,389033,0,3
AMERICAN TWP Q,39003003ADP,003ADP,137348,0,3
AUGLAIZE TWP A,39003003ADT,003ADT,54013456,109792,3
AUGLAIZE TWP B,39003003ADW,003ADW,38637472,241091,3
BATH TWP A,39003003ADY,003ADY,4750118,29778,3
BATH TWP B,39003003ADZ,003ADZ,4824448,580950,3
BATH TWP C,39003003AEA,003AEA,1279721,6694,3
BATH TWP D,39003003AEB,003AEB,323557,0,3
BATH TWP E,39003003AEC,003AEC,6078746,1824993,3
BATH TWP F,39003003AED,003AED,11136930,485048,3
BATH TWP G,39003003AEE,003AEE,11477185,53607,3
BATH TWP H,39003003AEF,003AEF,5383881,159147,3
BATH TWP I,39003003AEG,003AEG,14360410,197575,3
BATH TWP J,39003003AEI,003AEI,569731,0,3
BATH TWP K,39003003AEJ,003AEJ,18019087,140700,3
BATH TWP L,39003003AEK,003AEK,1332162,11158,3
BEAVERDAM VILLAGE,39003003AFE,003AFE,1614353,1145,3
BLUFFTON VILLAGE A,39003003AFI,003AFI,653324,0,3
BLUFFTON VILLAGE B,39003003AFJ,003AFJ,611680,0,3
BLUFFTON VILLAGE C,39003003AFK,003AFK,2157169,16116,3
BLUFFTON VILLAGE D,39003003AFL,003AFL,704591,124995,3
BLUFFTON VILLAGE E,39003003AFM,003AFM,1567720,36930,3
CAIRO VILLAGE,39003003AEW,003AEW,586546,0,3
DELPHOS 1A,39003003AAA,003AAA,861765,0,3
DELPHOS 1B,39003003AAC,003AAC,2018166,42306,3
DELPHOS 2A,39003003AAE,003AAE,1522817,0,3
DELPHOS 2B,39003003AAG,003AAG,539248,1791,3
ELIDA VILLAGE A,39003003ADQ,003ADQ,2722283,1130,3
ELIDA VILLAGE B,39003003ADR,003ADR,971104,2445,3
FT SHAW VILLAGE A,39003003AGB,003AGB,2058260,14500,3
FT SHAW VILLAGE B,39003003AGC,003AGC,4739760,13568,3
FT SHAW VILLAGE C,39003003AGD,003AGD,11733483,83272,3
HARROD VILLAGE,39003003ADU,003ADU,564615,3567,3
